Node,Degree,Betweenness (매개),Eigenvector (영향력)
한화시스템,0.9166666666666666,0.1653230676328502,0.11518327048404471
발사체,0.9166666666666666,0.10918737060041409,0.28617658321693107
New Space,0.8333333333333333,0.08993990108120542,0.09206420231397415
제주도,0.5,0.08924905106970325,0.0443434099400249
지상국,0.7083333333333333,0.0652475845410628,0.21064350869742998
루미르,0.4583333333333333,0.04250992063492062,0.03182114972632438
SAR,0.4583333333333333,0.04250992063492062,0.03182114972632438
대한항공,0.625,0.026979094778007816,0.061476128961931734
한화에어로스페이스,0.625,0.017473257418909593,0.08488484372543097
켄코아,0.625,0.017473257418909593,0.08488484372543097
제노코,0.625,0.017473257418909593,0.08488484372543097
우주항공청,0.4583333333333333,0.01370557280883368,0.03304923010695225
국가위성운영센터,0.4583333333333333,0.01370557280883368,0.033049230106952245
저궤도,0.4583333333333333,0.01370557280883368,0.033049230106952245
위성통신,0.4583333333333333,0.01370557280883368,0.033049230106952245
한국항공우주,1.0,0.012077294685990338,0.39387938554735963
컨텍,1.0,0.007246376811594203,0.4100043666500512
쎄트렉아이,0.7916666666666666,0.006435472739820565,0.35751134753533836
한국항공우주연구원,0.5,0.005706521739130434,0.05227771503609235
위성 데이터,0.5,0.005706521739130434,0.05227771503609234
페리지에어로스페이스,0.625,0.0004528985507246377,0.3190264816553708
KAIST,0.625,0.0004528985507246377,0.3190264816553707
AP위성,0.625,0.0,0.09089117884644116
우주산업 클러스터,0.3333333333333333,0.0,0.22962170732812545
대전시,0.375,0.0,0.31171328448181007
